
Symbol	Expiration	Last	Change	High	Low	Settlement	Volume
^VIX	-	75.47	21.57	76.83	59.91	-	-
VXH20	03/18/2020	64.57	17.62	65.00	59.55	58.3000	4522
VX12H20	03/25/2020	48.25	0.00	0.00	0.00	52.5000	0
VX13J20	04/01/2020	33.40	0.00	0.00	0.00	52.2500	0
VX14J20	04/08/2020	44.25	0.00	0.00	0.00	48.7250	0
VXJ20	04/15/2020	50.80	11.75	50.95	47.40	45.8250	8948
VX16J20	04/22/2020	0.00	0.00	0.00	0.00	45.1000	0
VX17J20	04/29/2020	0.00	0.00	0.00	0.00	41.9500	0
VXK20	05/20/2020	38.80	6.31	39.05	37.10	36.5750	1326
VXM20	06/17/2020	33.95	4.53	34.10	32.65	33.0250	914
VXN20	07/22/2020	31.45	3.50	31.45	30.50	30.9250	279
VXQ20	08/19/2020	29.69	2.83	30.00	29.10	29.4750	299
VXU20	09/16/2020	28.75	2.83	28.85	28.17	28.5250	76
VXV20	10/21/2020	28.77	2.07	28.90	28.25	28.5750	47
VXX20	11/18/2020	27.12	0.00	0.00	0.00	26.8250	0
